,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2018-03-12,16,RCN,0.1069,16038,1.2%,-27.4%
2019-11-04,65,RCN,0.04172,33083,1.2%,13.1%
2020-03-24,57,RCN,0.04962,38328,1.2%,52.1%
2018-05-22,37,RCN,0.1003,19594,1.2%,-14.3%
2018-02-14,21,RCN,0.1915,15328,1.2%,24.2%
2019-10-09,59,RCN,0.04293,31609,1.2%,14.5%
2018-04-02,20,RCN,0.0837,16769,1.2%,-17.9%
2018-10-30,32,RCN,0.03344,23088,1.2%,8.1%
2018-06-14,55,RCN,0.06758,20285,1.2%,-18.6%
2019-10-25,84,RCN,0.03999,32427,1.2%,6.4%
2020-03-25,62,RCN,0.05056,38390,1.2%,30.9%
2019-10-13,43,RCN,0.03827,31801,1.2%,3.1%
2020-05-01,82,RCN,0.07099,40287,1.2%,1.4%
2018-02-17,21,RCN,0.2014,15395,1.2%,16.2%
2020-02-18,53,RCN,0.07628,36949,1.2%,22.9%
2019-03-07,39,RCN,0.02168,25769,1.2%,-15.7%
2018-04-07,29,RCN,0.0875,16928,1.2%,9.2%
2018-09-24,16,RCN,0.026760000000000003,22356,1.2%,17.4%
2018-11-01,22,RCN,0.03243,23128,1.2%,8.5%
2019-10-12,29,RCN,0.038919999999999996,31758,1.2%,-5.5%
2018-09-19,48,RCN,0.027469999999999998,22236,1.2%,56.9%
2018-06-15,12,RCN,0.06051,20297,1.2%,-25.4%
2018-02-18,23,RCN,0.1797,15418,1.2%,3.5%
2018-02-23,24,RCN,0.1539,15555,1.2%,-20.5%
2019-04-02,39,RCN,0.030060000000000003,26544,1.2%,34.6%
2018-02-24,20,RCN,0.1443,15575,1.2%,-28.4%
2020-03-22,53,RCN,0.03847,38233,1.2%,6.3%
2020-05-21,68,RCN,0.07718,42933,1.2%,-23.5%
2018-11-02,10,RCN,0.03435,23138,1.2%,17.1%
2018-10-31,18,RCN,0.03478,23106,1.2%,11.5%
2019-10-14,60,RCN,0.03718,31861,1.2%,-7.5%
2020-03-23,38,RCN,0.043930000000000004,38271,1.2%,62.0%
2018-02-22,27,RCN,0.1471,15531,1.2%,-20.5%
2019-04-04,24,RCN,0.037000000000000005,26602,1.2%,65.9%
2020-02-19,31,RCN,0.06825,36980,1.2%,0.3%
2019-10-15,52,RCN,0.04075,31913,1.2%,-20.1%
2018-02-21,22,RCN,0.159,15504,1.1%,-17.0%
2018-02-25,20,RCN,0.1414,15595,1.1%,-21.3%
2020-02-17,45,RCN,0.06589,36896,1.1%,14.7%
2019-04-03,34,RCN,0.030139999999999997,26578,1.1%,19.7%
2018-10-29,44,RCN,0.031760000000000004,23056,1.1%,5.9%
2018-02-20,36,RCN,0.1566,15482,1.1%,-13.1%
2018-04-06,24,RCN,0.07961,16899,1.1%,-1.1%
2019-11-05,39,RCN,0.04252,33122,1.1%,-1.8%
2018-06-16,17,RCN,0.062220000000000004,20314,1.1%,-23.2%
2018-03-18,28,RCN,0.0867,16202,1.1%,-19.9%
2018-02-19,28,RCN,0.1797,15446,1.1%,-7.8%
2019-10-16,48,RCN,0.036789999999999996,31961,1.1%,-14.3%
2019-06-21,42,RCN,0.03612,28435,1.1%,-38.6%
2019-03-08,46,RCN,0.02239,25815,1.1%,6.4%
2019-04-01,35,RCN,0.030639999999999997,26505,1.1%,18.3%
2018-03-16,57,RCN,0.1,16147,1.1%,-12.4%
2020-04-30,94,RCN,0.06832,40205,1.1%,2.3%
2018-03-17,27,RCN,0.0916,16174,1.1%,-10.5%
2019-03-09,36,RCN,0.036000000000000004,25851,1.1%,69.4%
2019-04-05,20,RCN,0.03135,26622,1.1%,12.0%
2018-06-17,17,RCN,0.05703,20331,1.1%,-13.2%
2018-05-28,32,RCN,0.0794,19769,1.1%,-26.7%
2020-02-16,47,RCN,0.06283,36851,1.1%,8.0%
2020-03-21,55,RCN,0.04106,38180,1.1%,13.1%
2018-05-23,28,RCN,0.08800000000000001,19622,1.1%,-24.3%
2018-06-13,41,RCN,0.053,20230,1.1%,-35.9%
2019-10-24,83,RCN,0.04188,32343,1.1%,13.9%
2018-03-13,10,RCN,0.1044,16048,1.1%,-29.7%
2019-11-06,55,RCN,0.05088,33177,1.1%,31.0%
2018-03-14,23,RCN,0.094,16071,1.1%,-25.0%
2018-06-05,20,RCN,0.08717000000000001,19997,1.1%,2.6%
2018-06-03,30,RCN,0.0902,19945,1.1%,4.9%
2018-06-04,32,RCN,0.08591,19977,1.1%,8.2%
2018-06-02,37,RCN,0.09143,19915,1.1%,3.6%
2019-06-20,40,RCN,0.03193,28393,1.0%,2.5%
2019-03-10,35,RCN,0.03544,25886,1.0%,82.1%
2019-03-31,50,RCN,0.03127,26470,1.0%,46.8%
2019-09-20,111,RCN,0.02275,30177,1.0%,78.0%
2018-10-28,75,RCN,0.034230000000000003,23012,1.0%,5.8%
2018-06-06,18,RCN,0.08263999999999999,20015,1.0%,0.2%
2018-09-18,96,RCN,0.03766,22188,1.0%,88.9%
2020-03-20,73,RCN,0.03963,38125,1.0%,8.5%
2020-02-15,66,RCN,0.06563,36804,1.0%,16.4%
2020-03-26,55,RCN,0.05467,38445,1.0%,24.3%
2018-05-27,29,RCN,0.086,19737,1.0%,-26.0%
2019-11-27,51,RCN,0.04924,34070,1.0%,15.6%
2019-11-28,45,RCN,0.04774,34115,1.0%,10.1%
2020-03-28,59,RCN,0.05256,38570,1.0%,28.0%
2020-02-20,47,RCN,0.06994,37027,1.0%,2.5%
2020-03-31,62,RCN,0.05246,38718,1.0%,5.7%
2018-06-01,33,RCN,0.09176000000000001,19878,1.0%,6.1%
2019-10-17,41,RCN,0.03678,32002,1.0%,-12.8%
2019-11-07,43,RCN,0.04815,33220,1.0%,19.1%
2020-03-27,66,RCN,0.05101,38511,1.0%,28.7%
2020-05-22,56,RCN,0.08152999999999999,42989,1.0%,-19.2%
2020-03-30,45,RCN,0.04882,38656,1.0%,11.1%
2019-11-26,50,RCN,0.04767,34019,1.0%,7.8%
2018-05-31,36,RCN,0.08532000000000001,19845,1.0%,-5.7%
2019-11-23,61,RCN,0.045880000000000004,33889,1.0%,-12.1%
2019-12-02,49,RCN,0.05065,34307,1.0%,13.9%
2018-06-07,27,RCN,0.08299,20042,1.0%,-2.7%
2018-05-24,27,RCN,0.0905,19649,1.0%,-19.3%
2018-05-29,19,RCN,0.08499,19788,1.0%,-15.3%
2019-06-22,31,RCN,0.033589999999999995,28466,1.0%,-15.6%
2020-03-29,41,RCN,0.047830000000000004,38611,1.0%,24.3%
2020-04-01,51,RCN,0.05524,38769,1.0%,9.3%
2020-04-29,72,RCN,0.07200000000000001,40111,1.0%,17.1%
2019-11-08,40,RCN,0.04615,33260,1.0%,9.4%
2019-06-19,37,RCN,0.03268,28353,1.0%,0.3%
2019-10-19,30,RCN,0.03675,32069,1.0%,-5.6%
2019-10-18,37,RCN,0.03757,32039,1.0%,-4.4%
2019-12-01,74,RCN,0.05367,34258,1.0%,29.6%
