,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2018-06-18,1,AID,0.1145,1347,1.6%,-5.4%
2019-02-10,10,AID,0.03737,3659,1.6%,11.6%
2019-02-09,4,AID,0.03707,3649,1.6%,15.8%
2018-07-28,2,AID,0.1269,1501,1.6%,7.4%
2018-08-24,5,AID,0.0786,1579,1.5%,32.0%
2018-07-17,3,AID,0.1237,1461,1.5%,12.5%
2018-06-13,9,AID,0.1109,1338,1.5%,-32.6%
2018-10-18,8,AID,0.054000000000000006,1674,1.5%,3.6%
2018-10-19,1,AID,0.05,1675,1.5%,-9.5%
2018-06-16,3,AID,0.115,1342,1.5%,-25.0%
2018-07-23,1,AID,0.115,1480,1.5%,1.2%
2018-06-19,2,AID,0.1121,1349,1.5%,1.3%
2018-08-18,2,AID,0.06376,1557,1.5%,-14.6%
2019-02-01,5,AID,0.025830000000000002,3588,1.5%,-2.5%
2018-07-25,5,AID,0.11800000000000001,1492,1.5%,-3.4%
2018-07-27,1,AID,0.1252,1499,1.5%,3.3%
2019-01-08,4,AID,0.022000000000000002,3288,1.5%,10.0%
2018-08-25,1,AID,0.076,1580,1.5%,19.2%
2018-08-03,3,AID,0.10800000000000001,1521,1.5%,-13.7%
2018-07-16,6,AID,0.1136,1458,1.5%,3.3%
2019-02-07,10,AID,0.035,3635,1.5%,10.8%
2018-06-12,3,AID,0.1107,1329,1.5%,-34.5%
2019-02-03,9,AID,0.0335,3602,1.4%,4.7%
2018-06-21,4,AID,0.1101,1358,1.4%,-9.2%
2018-07-12,3,AID,0.1085,1446,1.4%,-1.4%
2019-08-01,29,AID,0.01486,18545,1.4%,-18.4%
2018-08-04,1,AID,0.0993,1522,1.4%,-21.7%
2019-02-02,5,AID,0.032,3593,1.4%,10.3%
2018-06-11,3,AID,0.121,1326,1.4%,-28.2%
2018-06-14,1,AID,0.1213,1339,1.4%,-23.7%
2019-02-06,7,AID,0.03057,3625,1.3%,19.6%
2018-08-02,3,AID,0.1055,1518,1.3%,-9.0%
2018-07-11,4,AID,0.105,1443,1.3%,-3.8%
2019-08-02,19,AID,0.014830000000000001,18564,1.3%,-14.3%
2019-07-31,27,AID,0.017,18516,1.3%,2.3%
2019-02-05,12,AID,0.033530000000000004,3618,1.3%,13.7%
2018-07-13,4,AID,0.109,1450,1.3%,-3.5%
2018-08-20,2,AID,0.064,1559,1.2%,15.9%
